participant_id,window_index,window_start_sample,window_end_sample,window_start_sec,window_end_sec,n_channels,fs_hz,mean,std,var,min,max,rms,skew,kurtosis,bandpower_delta,bandpower_theta,bandpower_alpha,bandpower_beta,bandpower_gamma,ratio_alpha_beta,ratio_theta_alpha,loader_used,assumed_dtype,assumed_num_channels
P2,0,0,1000,0.0,2.0,63,500,-2622.2447301587304,1418.1325469277906,2011099.9206559025,-7603.777777777777,2175.15873015873,2981.152016503206,-0.01927750037773122,0.02630816691670379,42816.019074787335,30314.157185669857,24285.025799454706,143593.453305626,420778.99945357966,0.1691234888526998,1.2482653893804192,fallback_binary,int16,63
P2,1,7000,8000,14.0,16.0,63,500,-3275.3473174603173,1607.7982001855014,2585015.0525197377,-8735.42857142857,1304.1587301587301,3648.686764099412,0.004075029051987923,-0.22698489385576437,107608.0093928712,62323.519073197815,20123.280896937235,189271.85769494975,419623.4788082173,0.10631945573953214,3.0970853804800518,fallback_binary,int16,63
P2,2,14000,15000,28.0,30.0,63,500,-2222.88473015873,1731.4715279161296,2997993.6519842166,-8321.126984126984,2703.2380952380954,2817.66040813244,-0.17538888185799803,-0.017227243252755375,60424.00479008457,33246.026073511995,25181.7321625701,227639.78332938798,468663.69360251067,0.11062096349886648,1.3202438124144846,fallback_binary,int16,63
P2,3,20500,21500,41.0,43.0,63,500,-2634.5606031746024,1502.2600598851204,2256785.287526046,-7107.142857142857,1723.2063492063492,3032.770162627853,-0.038348638518791923,0.03196225472439984,25565.90865077579,40726.432135062525,53142.97998174638,230199.68413571524,449435.4986688803,0.2308560073888533,0.7663558225197626,fallback_binary,int16,63
P2,4,27500,28500,55.0,57.0,63,500,-3220.572523809524,2012.8979803948114,4051758.2794775106,-9315.0,1826.4920634920634,3797.8738342122897,-0.23270610246637527,-0.3482781171940843,60904.05956699279,41957.99908969515,33657.97497932167,144941.4904115742,425215.0869517085,0.23221766854850787,1.2465990338240116,fallback_binary,int16,63
P2,5,34500,35500,69.0,71.0,63,500,-3401.7042698412697,1556.2848881469413,2422022.6530745374,-8230.79365079365,1508.095238095238,3740.8040034905416,0.015338752510941155,0.060920850557539374,49660.200189252144,46742.5351632308,23839.516270175554,108274.84859066801,521783.77572896937,0.2201759372603753,1.9607165948122902,fallback_binary,int16,63
P2,6,41500,42500,83.0,85.0,63,500,-2783.606873015873,1701.3303010709235,2894524.793342079,-8331.15873015873,3021.15873015873,3262.3598846300333,0.04242465275887248,0.04452133093275634,106674.40038340945,85951.89883210426,25738.659482814248,213231.8418018799,439577.5805934533,0.1207073918478311,3.339408522401662,fallback_binary,int16,63
P2,7,48500,49500,97.0,99.0,63,500,-3192.3580793650794,1700.1229114100443,2890417.9139013654,-8515.904761904761,1676.3650793650793,3616.845036877978,-0.039270896692982414,-0.10547461302928474,49560.77693178854,24830.093227774447,12846.643451255652,199135.96842727804,605512.0935987537,0.06451191893014087,1.9328078436976868,fallback_binary,int16,63
P2,8,55500,56500,111.0,113.0,63,500,-2963.5137142857147,1588.9200226386558,2524666.838342027,-8660.746031746032,1166.3809523809523,3362.6002398592577,-0.17492162970989575,0.12437754889230757,66342.76092534827,57472.95677446239,26492.5332621377,158358.70933661767,439634.7691314425,0.16729445051123415,2.169402080419427,fallback_binary,int16,63
P2,9,62000,63000,124.0,126.0,63,500,-2591.0413650793653,1411.7959739920236,1993167.8721800863,-6961.571428571428,2263.6984126984125,2950.7055474466483,-0.03297132306026628,0.1000986010434457,34243.34809163766,38594.095481707685,39686.703624870264,162522.7957612003,447562.7845584456,0.24419161286877655,0.9724691636400389,fallback_binary,int16,63
