batch_index,n_samples,participants,drift_applied,drift_score,batch_accuracy,batch_macro_f1,rolling_accuracy,rolling_macro_f1,mean_confidence,model_version,update_triggered,trigger_reasons
1,256,P7,0,5.389939623548666,0.45703125,0.1885056576352123,0.45703125,0.1885056576352123,0.5340508932713419,0,0,
2,256,P7,0,5.941479813055226,0.44921875,0.2097767407454042,0.453125,0.18722760743829805,0.5341937069315463,0,0,
3,256,"P11,P7",0,1.132467160379155,0.5625,0.39547969502832636,0.4895833333333333,0.2906573438845748,0.406119373627007,0,0,
4,256,P11,1,3.2912405179569246,0.53515625,0.3170817449345789,0.515625,0.32638630878773733,0.4176875284174457,0,0,drift_score
5,256,P11,1,2.703297054729794,0.37109375,0.29266780545220783,0.4895833333333333,0.3498413077871506,0.3529018935514614,1,1,drift_score
6,256,"P11,P18",1,1.0407116031873689,0.68359375,0.5181664607483654,0.5299479166666666,0.42506365637380433,0.35359380883164704,1,0,
7,256,P18,1,1.8519264950147183,0.5,0.2806599832915622,0.5182291666666666,0.4047950541265807,0.3353424802189693,2,1,drift_score
8,256,P18,1,3.3811972489590874,0.48046875,0.2549618563254927,0.5546875,0.4236772786527106,0.3226467539789155,2,0,drift_score
9,256,"P18,P22",1,2.614760247566086,0.546875,0.33035308655436224,0.5091145833333334,0.376707321227834,0.344527231878601,2,0,drift_score
10,256,P22,1,1.7236918898724476,0.4921875,0.3266468397542968,0.5065104166666666,0.39087622953666795,0.35431994998361915,2,0,drift_score
11,256,P22,1,2.378663322926022,0.37109375,0.2584629445322614,0.4700520833333333,0.32484295944954944,0.32157198793720454,2,0,drift_score
12,218,P22,1,1.8857518215070719,0.40825688073394495,0.23866535105941006,0.4246575342465753,0.31456793096656366,0.3596329385534339,2,0,drift_score
