batch_index,n_samples,participants,drift_applied,drift_score,batch_accuracy,batch_macro_f1,rolling_accuracy,rolling_macro_f1,mean_confidence,buffer_size,pending_samples,model_version,update_triggered,trigger_reasons
1,256,P7,0,5.389939623548666,0.45703125,0.1885056576352123,0.45703125,0.1885056576352123,0.5340508932713419,512,0,0,0,
2,256,P7,0,5.941479813055226,0.44921875,0.2097767407454042,0.453125,0.18722760743829805,0.5341937069315463,512,0,0,0,
3,256,"P11,P7",0,1.132467160379155,0.5625,0.39547969502832636,0.4895833333333333,0.2906573438845748,0.406119373627007,512,0,0,0,
4,256,P11,1,3.133833080293973,0.5390625,0.32264804161355887,0.5169270833333334,0.32929717137102843,0.4172450079349801,512,256,0,0,drift_score
5,256,P11,1,2.411637886087805,0.390625,0.3050906433859898,0.4973958333333333,0.3566950221919142,0.3533935466548428,922,0,1,1,drift_score
6,256,"P11,P18",1,1.0623782312813197,0.66015625,0.5040647281290752,0.5299479166666666,0.42160969224250017,0.3578999787569046,922,256,1,0,
7,256,P18,1,1.8582409979874366,0.44140625,0.2628825073107673,0.4973958333333333,0.3882117475250434,0.32779333915095776,1332,0,2,1,drift_score
8,256,P18,1,3.209865898946819,0.5,0.2714526385865615,0.5338541666666666,0.4249785995297565,0.32890858652535826,1332,256,2,0,drift_score
9,256,"P18,P22",1,2.274725931580687,0.578125,0.35162670662670664,0.5065104166666666,0.3955054944209871,0.3325714182574302,1332,512,2,0,drift_score
10,256,P22,1,1.6907709627998972,0.48828125,0.3444600689281351,0.5221354166666666,0.42388562780719646,0.3385250282008201,1332,768,2,0,drift_score
11,256,P22,1,2.3762261888567986,0.46484375,0.3429487817030015,0.5104166666666666,0.3772970080088372,0.31668708089273423,1332,1024,2,0,drift_score
12,218,P22,1,1.8772482741419498,0.3669724770642202,0.21980440649737634,0.4438356164383562,0.34440764799350715,0.34349452423940013,1332,1242,2,0,drift_score
