batch_index,n_samples,participants,drift_applied,drift_score,drift_threshold,low_conf_fraction,low_conf_fraction_trigger,suspicious_count,selected_for_review,intervention_triggered,mean_confidence
1,256,P7,0,5.389939623548666,1.5,0.5703125,0.35,8,24,1,0.5340508932713419
2,256,P7,0,5.941479813055226,1.5,0.5703125,0.35,7,24,1,0.5341937069315463
3,256,"P11,P7",0,1.132467160379155,1.5,0.82421875,0.35,8,24,1,0.406119373627007
4,256,P11,1,3.167338440565181,1.5,0.81640625,0.35,4,24,1,0.4177206589374691
5,256,P11,1,2.574100527677398,1.5,0.94921875,0.35,0,24,1,0.35219006007537246
6,256,"P11,P18",1,1.0644183583828424,1.5,0.94140625,0.35,0,24,1,0.35170409362763166
7,256,P18,1,1.675382266110741,1.5,0.9921875,0.35,0,24,1,0.33161879680119455
8,256,P18,1,3.2090990710005287,1.5,0.99609375,0.35,0,24,1,0.3265190520323813
9,256,"P18,P22",1,2.291074861626044,1.5,0.9921875,0.35,0,24,1,0.3228032991755754
10,256,P22,1,1.7042290540951082,1.5,1.0,0.35,0,24,1,0.32315959059633315
11,256,P22,1,2.3803096254127754,1.5,0.99609375,0.35,0,24,1,0.3109236560994759
12,218,P22,1,1.8898025461556274,1.5,0.981651376146789,0.35,0,24,1,0.32727229089365095
