strategy,cycle_index,pool_index,participant,y_true,y_pred,reviewed_label,confidence,was_corrected
random,1,74,P8,1,0,1,0.37850773334503174,1
random,1,359,P8,2,0,2,0.41842174530029297,1
random,1,3042,P23,2,0,2,0.31119251251220703,1
random,1,1106,P12,2,0,2,0.3820841908454895,1
random,1,2030,P14,2,3,2,0.3288930654525757,1
random,1,2578,P14,0,3,0,0.35655808448791504,1
random,1,2186,P14,0,0,0,0.43479594588279724,0
random,1,2103,P14,0,0,0,0.3775677978992462,0
random,1,1534,P12,2,0,2,0.39214494824409485,1
random,1,2715,P23,2,0,2,0.5768980979919434,1
random,1,3214,P23,1,0,1,0.4375087320804596,1
random,1,764,P8,1,0,1,0.4111810326576233,1
random,1,1484,P12,2,0,2,0.5383551716804504,1
random,1,1504,P12,2,3,2,0.36794254183769226,1
random,1,1859,P12,0,0,0,0.35110384225845337,0
random,1,922,P8,0,3,0,0.3463471233844757,1
random,1,66,P8,2,3,2,0.703653872013092,1
random,1,302,P8,0,0,0,0.8443467617034912,0
random,1,52,P8,2,0,2,0.6630696654319763,1
random,1,538,P8,1,3,1,0.39335763454437256,1
random,1,1446,P12,2,0,2,0.3339081406593323,1
random,1,2497,P14,0,0,0,0.6717591285705566,0
random,1,1172,P12,1,3,1,0.281455397605896,1
random,1,1372,P12,0,0,0,0.38301292061805725,0
random,1,851,P8,1,0,1,0.408183753490448,1
random,1,264,P8,0,0,0,0.45296522974967957,0
random,1,2166,P14,0,0,0,0.8974301218986511,0
random,1,1057,P12,2,0,2,0.3163226842880249,1
random,1,1764,P12,1,0,1,0.3339367210865021,1
random,1,1100,P12,2,1,2,0.2702886164188385,1
random,1,751,P8,1,0,1,0.29633384943008423,1
random,1,694,P8,2,0,2,0.38300007581710815,1
random,2,2723,P23,2,0,2,0.3992248773574829,1
random,2,247,P8,0,0,0,0.46542200446128845,0
random,2,382,P8,2,3,2,0.408035546541214,1
random,2,978,P8,0,0,0,0.7358331680297852,0
random,2,2249,P14,0,0,0,0.5329404473304749,0
random,2,660,P8,2,3,2,0.36685264110565186,1
random,2,1174,P12,1,0,1,0.4101528525352478,1
random,2,24,P8,2,0,2,0.3515355885028839,1
random,2,2138,P14,0,0,0,0.8076106309890747,0
random,2,1820,P12,1,0,1,0.34699681401252747,1
random,2,3106,P23,2,0,2,0.30709707736968994,1
random,2,2178,P14,0,0,0,0.6430842280387878,0
random,2,1114,P12,2,0,2,0.3706449270248413,1
random,2,1711,P12,2,0,2,0.4426884055137634,1
random,2,1809,P12,1,0,1,0.2720494270324707,1
random,2,1997,P14,2,0,2,0.38975775241851807,1
random,2,438,P8,2,0,2,0.5361904501914978,1
random,2,1439,P12,2,0,2,0.6976584792137146,1
