batch_index,participants,drift_applied,drift_score,drift_threshold,low_conf_fraction,low_conf_fraction_trigger,batch_accuracy,batch_macro_f1,mean_confidence,intervention_triggered,query_count,pending_reviewed_samples,min_reviewed_for_update,update_triggered,model_version,buffer_size
1,P7,0,5.389939623548666,1.5,0.5703125,0.35,0.45703125,0.1885056576352123,0.5340508932713419,1,16,16,48,0,0,512
2,P7,0,5.941479813055226,1.5,0.5703125,0.35,0.44921875,0.2097767407454042,0.5341937069315463,1,16,32,48,0,0,512
3,"P11,P7",0,1.132467160379155,1.5,0.82421875,0.35,0.5625,0.39547969502832636,0.406119373627007,1,16,0,48,1,1,550
4,P11,1,3.134285501782286,1.5,0.8125,0.35,0.5546875,0.33892230499918585,0.4162680828012526,1,16,16,48,0,1,550
5,P11,1,2.5583888055229913,1.5,0.94921875,0.35,0.39453125,0.3067362313051968,0.35206371056847274,1,16,32,48,0,1,550
6,"P11,P18",1,1.0501574784663776,1.5,0.94140625,0.35,0.66015625,0.4846910336040771,0.35078249766957015,1,16,0,48,1,2,588
7,P18,1,1.8428398613701273,1.5,0.99609375,0.35,0.47265625,0.267767172425167,0.3309879176085815,1,16,16,48,0,2,588
8,P18,1,3.35654362251758,1.5,0.99609375,0.35,0.53125,0.2968301971326165,0.3263221774250269,1,16,32,48,0,2,588
9,"P18,P22",1,2.285505487588302,1.5,0.9921875,0.35,0.5625,0.3228396934037256,0.32267874653916806,1,16,0,48,1,3,626
10,P22,1,1.7092088854988348,1.5,1.0,0.35,0.45703125,0.33723055421168624,0.32302176603116095,1,16,16,48,0,3,626
11,P22,1,2.4098550623134587,1.5,1.0,0.35,0.47265625,0.32326868133319747,0.3097445440944284,1,16,32,48,0,3,626
12,P22,1,1.8499714467724253,1.5,0.981651376146789,0.35,0.3119266055045872,0.22453081232492997,0.3276611101736716,1,16,48,48,0,3,626
