batch_index,participants,strategy,row_index_in_batch,y_true,y_pred,confidence,anomaly_score,model_error,priority_score,selection_reasons,reviewed_label,human_correct,model_corrected,human_agrees_with_model
1,P7,uncertainty,88,1,0,0.2810075581073761,3.0586566832457325,1,4.132954695559581,"low_confidence,drift_batch",1,1,1,0
1,P7,uncertainty,10,2,1,0.27879276871681213,1.729721604856421,1,4.137384274340709,"low_confidence,drift_batch",2,1,1,0
1,P7,uncertainty,117,1,1,0.2954050898551941,2.5169391428162813,0,4.104159632063945,"low_confidence,drift_batch",1,1,0,1
1,P7,uncertainty,1,2,0,0.3097487688064575,3.4211728756170663,1,4.075472274161418,"low_confidence,drift_batch",2,1,1,0
1,P7,uncertainty,54,2,3,0.29164788126945496,2.8650661341965584,1,4.111674049235424,"low_confidence,drift_batch",2,1,1,0
1,P7,uncertainty,38,2,3,0.2855106294155121,2.013939193498029,1,4.123948552943309,"low_confidence,drift_batch",2,1,1,0
1,P7,uncertainty,81,1,0,0.2927510440349579,2.958773586741758,1,4.109467723704418,"low_confidence,drift_batch",1,1,1,0
1,P7,uncertainty,18,2,3,0.29294106364250183,1.9704143838539434,1,4.10908768448933,"low_confidence,drift_batch",2,1,1,0
1,P7,uncertainty,80,1,3,0.30427467823028564,3.560028757618868,1,4.086420455313762,"low_confidence,drift_batch",1,1,1,0
1,P7,uncertainty,87,1,0,0.31620264053344727,4.881872206384834,1,4.062564530707439,"low_confidence,drift_batch",1,1,1,0
1,P7,uncertainty,19,2,0,0.31051063537597656,2.0548550262920116,1,4.07394854102238,"low_confidence,drift_batch",2,1,1,0
1,P7,uncertainty,211,0,0,0.2956392765045166,2.6054659944858045,0,4.1036912587653,"low_confidence,drift_batch",0,1,0,1
1,P7,uncertainty,16,2,0,0.30668801069259644,1.3027320208583621,1,4.081593790389141,"low_confidence,drift_batch",2,1,1,0
1,P7,uncertainty,14,2,3,0.2916174530982971,2.6672716654784563,1,4.111734905577739,"low_confidence,drift_batch",2,1,1,0
1,P7,uncertainty,39,2,3,0.29726365208625793,3.885881400196401,1,4.100442507601818,"low_confidence,drift_batch",2,1,1,0
1,P7,uncertainty,17,2,3,0.3159162998199463,2.6410703344883557,1,4.063137212134441,"low_confidence,drift_batch",2,1,1,0
2,P7,uncertainty,114,1,1,0.2768184542655945,3.2676939132840457,0,4.417102997996424,"low_confidence,drift_batch",1,1,0,1
2,P7,uncertainty,79,2,1,0.2844943702220917,3.8508816441854994,1,4.40175116608343,"low_confidence,drift_batch",2,1,1,0
