batch_index,n_samples,participants,drift_applied,drift_score,batch_accuracy,batch_macro_f1,rolling_accuracy,rolling_macro_f1,mean_confidence,buffer_size,pending_samples,model_version,update_triggered,trigger_reasons
1,256,P7,0,5.389939623548666,0.45703125,0.1885056576352123,0.45703125,0.1885056576352123,0.5340508932713419,512,0,0,0,
2,256,P7,0,5.941479813055226,0.44921875,0.2097767407454042,0.453125,0.18722760743829805,0.5341937069315463,512,0,0,0,
3,256,"P11,P7",0,1.132467160379155,0.5625,0.39547969502832636,0.4895833333333333,0.2906573438845748,0.406119373627007,512,0,0,0,
4,256,P11,1,3.133833080293973,0.5390625,0.32264804161355887,0.5169270833333334,0.32929717137102843,0.4172450079349801,512,256,0,0,drift_score
5,256,P11,1,2.411637886087805,0.390625,0.3050906433859898,0.4973958333333333,0.3566950221919142,0.3533935466548428,922,0,1,1,drift_score
6,256,"P11,P18",1,1.0623782312813197,0.66015625,0.5040647281290752,0.5299479166666666,0.42160969224250017,0.3578999787569046,922,256,1,0,
7,256,P18,1,1.8582409979874366,0.44140625,0.2628825073107673,0.4973958333333333,0.3882117475250434,0.32779333915095776,922,512,1,0,drift_score
8,256,P18,1,3.3729996731908614,0.54296875,0.30045210641653186,0.5481770833333334,0.4381148626034657,0.32654378947336227,922,768,1,0,drift_score
9,256,"P18,P22",1,2.4409582161246677,0.56640625,0.31927105152911606,0.5169270833333334,0.40386708406712496,0.32197988487314433,922,1024,1,0,drift_score
10,256,P22,1,1.7372922160401338,0.40625,0.3079910510944994,0.5052083333333334,0.41119627771432943,0.32091970404144377,922,1280,1,0,drift_score
11,256,P22,1,2.3897026835699124,0.47265625,0.316739580307871,0.4817708333333333,0.3407769679720954,0.309618953615427,922,1536,1,0,drift_score
12,218,P22,1,1.8866213460929298,0.3073394495412844,0.22644990638742543,0.4,0.3206687304313084,0.3237649550951949,922,1754,1,0,drift_score
