row_index_in_batch,y_true,y_pred,confidence,anomaly_score,model_error,priority_score,selection_reasons,batch_index,participants,reviewed_label,human_correct,model_corrected,human_agrees_with_model
68,1,0,0.906972348690033,13.728129784737163,1,28.287164488880077,"anomalous_high_confidence,overconfident_error,drift_batch",1,P7,1,1,1,0
238,0,0,0.9077672362327576,13.439844633130924,0,22.85473676147072,"anomalous_high_confidence,drift_batch",1,P7,0,1,0,1
56,2,0,0.9388317465782166,9.281650680016128,1,21.617445831798523,"anomalous_high_confidence,overconfident_error,drift_batch",1,P7,2,1,1,0
69,1,0,0.8599199056625366,6.094352511569661,1,16.836498579128826,"anomalous_high_confidence,overconfident_error,drift_batch",1,P7,1,1,1,0
147,0,0,0.9203888177871704,8.123161562176584,0,14.87971215503921,"anomalous_high_confidence,drift_batch",1,P7,0,1,0,1
245,0,0,0.8697587847709656,7.934879484200774,0,14.597289038075495,"anomalous_high_confidence,drift_batch",1,P7,0,1,0,1
241,0,0,0.8939759135246277,6.351813273062976,0,12.222689721368797,"anomalous_high_confidence,drift_batch",1,P7,0,1,0,1
247,0,0,0.8684974908828735,6.036721233306056,0,11.750051661733417,"anomalous_high_confidence,drift_batch",1,P7,0,1,0,1
30,0,0,0.9596322178840637,13.683689360132515,0,23.496273946726383,"anomalous_high_confidence,drift_batch",2,P7,0,1,0,1
1,0,0,0.8929375410079956,13.364272600911354,0,23.017148807894642,"anomalous_high_confidence,drift_batch",2,P7,0,1,0,1
92,2,0,0.8533807992935181,8.176178346172316,1,20.235007425786087,"anomalous_high_confidence,overconfident_error,drift_batch",2,P7,2,1,1,0
56,0,0,0.9267066717147827,10.742923180823414,0,19.085124677762735,"anomalous_high_confidence,drift_batch",2,P7,0,1,0,1
217,0,0,0.8553004264831543,9.616261693431674,0,17.395132446675124,"anomalous_high_confidence,drift_batch",2,P7,0,1,0,1
55,0,0,0.9031294584274292,9.277585727325986,0,16.887118497516592,"anomalous_high_confidence,drift_batch",2,P7,0,1,0,1
31,0,0,0.9365697503089905,8.785035020230499,0,16.148292436873362,"anomalous_high_confidence,drift_batch",2,P7,0,1,0,1
114,1,1,0.2768184542655945,3.2676939132840457,0,4.417102997996424,"low_confidence,drift_batch",2,P7,1,1,0,1
30,0,0,0.9019303321838379,11.912442165847063,0,17.868663248770595,anomalous_high_confidence,3,"P11,P7",0,1,0,1
9,0,0,0.9027528762817383,9.562251129573045,0,14.343376694359568,anomalous_high_confidence,3,"P11,P7",0,1,0,1
40,0,0,0.8993237018585205,8.544297272229072,0,12.816445908343606,anomalous_high_confidence,3,"P11,P7",0,1,0,1
50,0,0,0.8777158856391907,7.7933722240454255,0,11.690058336068137,anomalous_high_confidence,3,"P11,P7",0,1,0,1
19,0,0,0.8659192323684692,7.701826129878496,0,11.552739194817743,anomalous_high_confidence,3,"P11,P7",0,1,0,1
41,0,0,0.8692729473114014,7.567812730452075,0,11.351719095678112,anomalous_high_confidence,3,"P11,P7",0,1,0,1
12,0,0,0.8600754141807556,7.433317254621818,0,11.149975881932725,anomalous_high_confidence,3,"P11,P7",0,1,0,1
