batch_index,n_samples,participants,drift_applied,drift_score,drift_threshold,low_conf_fraction,low_conf_fraction_trigger,suspicious_count,selected_for_review,intervention_triggered,mean_confidence
1,256,P7,0,5.389939623548666,1.5,0.5703125,0.35,8,8,1,0.5340508932713419
2,256,P7,0,5.941479813055226,1.5,0.5703125,0.35,7,8,1,0.5341937069315463
3,256,"P11,P7",0,1.132467160379155,1.5,0.82421875,0.35,8,8,1,0.406119373627007
4,256,P11,1,3.283505264178095,1.5,0.80859375,0.35,4,8,1,0.41753250116016716
5,256,P11,1,2.5514700879181005,1.5,0.94921875,0.35,0,8,1,0.3531415095785633
6,256,"P11,P18",1,1.0607343739580313,1.5,0.94140625,0.35,0,8,1,0.35100678517483175
7,256,P18,1,1.825018599285506,1.5,0.9921875,0.35,0,8,1,0.33109130489174277
8,256,P18,1,3.3725085946893962,1.5,0.99609375,0.35,0,8,1,0.3268434258643538
9,256,"P18,P22",1,2.2997880242993576,1.5,0.99609375,0.35,0,8,1,0.3236053658183664
10,256,P22,1,1.736051274820401,1.5,1.0,0.35,0,8,1,0.3223067158833146
11,256,P22,1,2.4017079987452936,1.5,1.0,0.35,0,8,1,0.31020482792519033
12,218,P22,1,1.887278074065168,1.5,0.981651376146789,0.35,0,8,1,0.3272905962182841
