strategy,cycle_index,pool_index,participant,y_true,y_pred,reviewed_label,confidence,was_corrected
random,1,767,P8,1,3,1,0.3148580491542816,1
random,1,2591,P14,0,0,0,0.40477776527404785,0
random,1,541,P8,1,3,1,0.36755961179733276,1
random,1,303,P8,0,1,0,0.346914678812027,1
random,1,855,P8,1,0,1,0.6202136278152466,1
random,1,1491,P12,2,0,2,0.3247556686401367,1
random,1,74,P8,1,0,1,0.37850773334503174,1
random,1,1773,P12,1,0,1,0.385757178068161,1
random,1,3057,P23,2,3,2,0.27759823203086853,1
random,1,52,P8,2,0,2,0.6630696654319763,1
random,1,2196,P14,0,0,0,0.6421671509742737,0
random,1,3229,P23,1,0,1,0.6077988743782043,1
random,1,66,P8,2,3,2,0.703653872013092,1
random,1,1511,P12,2,3,2,0.3356403708457947,1
random,1,2176,P14,0,0,0,0.6413983106613159,0
random,1,360,P8,2,0,2,0.40169093012809753,1
random,2,1709,P12,2,0,2,0.49175506830215454,1
random,2,1264,P12,0,0,0,0.5390554666519165,0
random,2,2027,P14,2,0,2,0.28473028540611267,1
random,2,594,P8,1,3,1,0.39562565088272095,1
random,2,584,P8,1,0,1,0.3341977596282959,1
random,2,2594,P14,0,1,0,0.3184756934642792,1
random,2,1743,P12,2,3,2,0.27061396837234497,1
random,2,1170,P12,1,3,1,0.37448596954345703,1
random,2,818,P8,1,3,1,0.3437218964099884,1
random,2,2904,P23,0,0,0,0.28933143615722656,0
random,2,2024,P14,2,0,2,0.3387335240840912,1
random,2,2183,P14,0,0,0,0.9393623471260071,0
random,2,1354,P12,0,0,0,0.4644467532634735,0
random,2,460,P8,2,3,2,0.46544209122657776,1
random,2,649,P8,2,0,2,0.5068948268890381,1
random,2,2681,P23,2,0,2,0.4699806869029999,1
uncertainty,1,1483,P12,2,1,2,0.25877755880355835,1
uncertainty,1,1461,P12,2,0,2,0.25892606377601624,1
uncertainty,1,1116,P12,2,1,2,0.2591271698474884,1
uncertainty,1,2222,P14,0,3,0,0.2603331506252289,1
uncertainty,1,2331,P14,1,1,1,0.2596556842327118,0
uncertainty,1,2785,P23,3,3,3,0.2654951214790344,0
uncertainty,1,2694,P23,2,1,2,0.2608342170715332,1
uncertainty,1,3345,P23,0,3,0,0.26897796988487244,1
uncertainty,1,2501,P14,0,0,0,0.26839014887809753,0
uncertainty,1,1648,P12,2,2,2,0.2585863769054413,0
uncertainty,1,2307,P14,2,2,2,0.26559334993362427,0
uncertainty,1,2571,P14,0,0,0,0.25987768173217773,0
uncertainty,1,1734,P12,2,3,2,0.26460424065589905,1
uncertainty,1,3333,P23,0,1,0,0.2642590403556824,1
uncertainty,1,3001,P23,2,1,2,0.2615719437599182,1
uncertainty,1,2079,P14,3,1,3,0.26622235774993896,1
uncertainty,2,3322,P23,0,3,0,0.25331419706344604,1
uncertainty,2,1744,P12,2,0,2,0.2587803900241852,1
uncertainty,2,2984,P23,2,2,2,0.2588464617729187,0
uncertainty,2,2482,P14,3,1,3,0.2550536096096039,1
uncertainty,2,3104,P23,2,3,2,0.25772157311439514,1
uncertainty,2,2937,P23,0,3,0,0.2598304748535156,1
uncertainty,2,3128,P23,2,1,2,0.26902061700820923,1
uncertainty,2,1517,P12,2,3,2,0.26333075761795044,1
uncertainty,2,3069,P23,2,0,2,0.26573073863983154,1
uncertainty,2,2475,P14,1,0,1,0.2629842162132263,1
uncertainty,2,2312,P14,2,2,2,0.2623482048511505,0
uncertainty,2,3361,P23,0,1,0,0.2615000009536743,1
uncertainty,2,1437,P12,2,0,2,0.27060145139694214,1
uncertainty,2,3332,P23,0,2,0,0.2626366913318634,1
uncertainty,2,1560,P12,2,0,2,0.2697083353996277,1
uncertainty,2,1090,P12,2,3,2,0.2604020833969116,1
