batch_index,participants,strategy,row_index_in_batch,y_true,y_pred,confidence,anomaly_score,model_error,priority_score,selection_reasons,reviewed_label,human_correct,model_corrected,human_agrees_with_model
1,P7,uncertainty,88,1,0,0.2810075581073761,3.0586566832457325,1,4.132954695559581,"low_confidence,drift_batch",1,1,1,0
1,P7,uncertainty,10,2,1,0.27879276871681213,1.729721604856421,1,4.137384274340709,"low_confidence,drift_batch",2,1,1,0
1,P7,uncertainty,117,1,1,0.2954050898551941,2.5169391428162813,0,4.104159632063945,"low_confidence,drift_batch",1,1,0,1
1,P7,uncertainty,1,2,0,0.3097487688064575,3.4211728756170663,1,4.075472274161418,"low_confidence,drift_batch",2,1,1,0
1,P7,uncertainty,54,2,3,0.29164788126945496,2.8650661341965584,1,4.111674049235424,"low_confidence,drift_batch",2,1,1,0
1,P7,uncertainty,38,2,3,0.2855106294155121,2.013939193498029,1,4.123948552943309,"low_confidence,drift_batch",2,1,1,0
1,P7,uncertainty,81,1,0,0.2927510440349579,2.958773586741758,1,4.109467723704418,"low_confidence,drift_batch",1,1,1,0
1,P7,uncertainty,18,2,3,0.29294106364250183,1.9704143838539434,1,4.10908768448933,"low_confidence,drift_batch",2,1,1,0
2,P7,uncertainty,114,1,1,0.2768184542655945,3.2676939132840457,0,4.417102997996424,"low_confidence,drift_batch",1,1,0,1
2,P7,uncertainty,79,2,1,0.2844943702220917,3.8508816441854994,1,4.40175116608343,"low_confidence,drift_batch",2,1,1,0
2,P7,uncertainty,21,0,0,0.28990817070007324,3.043708411637475,0,4.3909235651274665,"low_confidence,drift_batch",0,1,0,1
2,P7,uncertainty,71,2,0,0.2815723121166229,3.862052461574256,1,4.407595282294367,"low_confidence,drift_batch",2,1,1,0
2,P7,uncertainty,70,2,1,0.2929505407810211,2.824927600690356,1,4.384838824965571,"low_confidence,drift_batch",2,1,1,0
2,P7,uncertainty,198,1,0,0.28923213481903076,2.3274588674308614,1,4.3922756368895515,"low_confidence,drift_batch",1,1,1,0
2,P7,uncertainty,145,2,1,0.2986064553260803,2.6607712791182045,1,4.373526995875452,"low_confidence,drift_batch",2,1,1,0
2,P7,uncertainty,78,2,0,0.2868623435497284,2.945569274668349,1,4.397015219428156,"low_confidence,drift_batch",2,1,1,0
3,"P11,P7",uncertainty,229,0,2,0.26758551597595215,0.8916622415346007,1,1.4648289680480957,low_confidence,0,1,1,0
3,"P11,P7",uncertainty,254,0,2,0.27142366766929626,1.004566492259753,1,1.4571526646614075,low_confidence,0,1,1,0
