batch_index,participants,drift_applied,drift_score,drift_threshold,low_conf_fraction,low_conf_fraction_trigger,batch_accuracy,batch_macro_f1,mean_confidence,intervention_triggered,query_count,pending_reviewed_samples,min_reviewed_for_update,update_triggered,model_version,buffer_size
1,P7,0,5.389939623548666,1.5,0.5703125,0.35,0.45703125,0.1885056576352123,0.5340508932713419,1,8,8,24,0,0,512
2,P7,0,5.941479813055226,1.5,0.5703125,0.35,0.44921875,0.2097767407454042,0.5341937069315463,1,8,16,24,0,0,512
3,"P11,P7",0,1.132467160379155,1.5,0.82421875,0.35,0.5625,0.39547969502832636,0.406119373627007,1,8,0,24,1,1,531
4,P11,1,3.167006955243303,1.5,0.8203125,0.35,0.54296875,0.32072031987725513,0.41564512997865677,1,8,8,24,0,1,531
5,P11,1,2.2363036625156774,1.5,0.94921875,0.35,0.37109375,0.27661800801618364,0.351808546227403,1,8,16,24,0,1,531
6,"P11,P18",1,1.0436401468485692,1.5,0.9453125,0.35,0.66796875,0.493138436602751,0.3512546099955216,1,8,0,24,1,2,550
7,P18,1,1.8427925749980485,1.5,0.99609375,0.35,0.46484375,0.27498160995802745,0.328708253800869,1,8,8,24,0,2,550
8,P18,1,3.371057835702286,1.5,0.99609375,0.35,0.51953125,0.2931381381381381,0.3249048647703603,1,8,16,24,0,2,550
9,"P18,P22",1,2.248430595909112,1.5,0.9921875,0.35,0.5625,0.32683146991268286,0.32131913327611983,1,8,24,24,0,2,550
10,P22,1,1.7024258370924374,1.5,0.99609375,0.35,0.42578125,0.3200616467386756,0.3216335333418101,1,8,32,24,0,2,550
11,P22,1,2.375254914293392,1.5,1.0,0.35,0.47265625,0.33694017833074863,0.3084387679118663,1,8,40,24,0,2,550
12,P22,1,1.8755495036994738,1.5,0.981651376146789,0.35,0.3165137614678899,0.21747078560684946,0.32482623698514534,1,8,48,24,0,2,550
